=== CPU UTILIZATION ===
CPU Cores        : 4
Cores In Use     : 1
Cores Available  : 3

=== RUNNING PROCESSES ===
p245 (06/26/2025 10:06:47PM)  Core: 3 3/5

=== FINISHED PROCESSES ===
p000 (06/26/2025 10:05:43PM) Finished 2/2
p001 (06/26/2025 10:05:43PM) Finished 3/3
p002 (06/26/2025 10:05:44PM) Finished 2/2
p003 (06/26/2025 10:05:44PM) Finished 3/3
p004 (06/26/2025 10:05:44PM) Finished 5/5
p005 (06/26/2025 10:05:44PM) Finished 2/2
p006 (06/26/2025 10:05:45PM) Finished 2/2
p007 (06/26/2025 10:05:45PM) Finished 2/2
p008 (06/26/2025 10:05:45PM) Finished 2/2
p009 (06/26/2025 10:05:45PM) Finished 5/5
p010 (06/26/2025 10:05:46PM) Finished 5/5
p011 (06/26/2025 10:05:46PM) Finished 4/4
p012 (06/26/2025 10:05:46PM) Finished 1/1
p013 (06/26/2025 10:05:46PM) Finished 4/4
p014 (06/26/2025 10:05:47PM) Finished 4/4
p015 (06/26/2025 10:05:47PM) Finished 4/4
p016 (06/26/2025 10:05:47PM) Finished 2/2
p017 (06/26/2025 10:05:48PM) Finished 5/5
p018 (06/26/2025 10:05:48PM) Finished 2/2
p019 (06/26/2025 10:05:48PM) Finished 2/2
p021 (06/26/2025 10:05:49PM) Finished 4/4
p020 (06/26/2025 10:05:48PM) Finished 5/5
p022 (06/26/2025 10:05:49PM) Finished 3/3
p023 (06/26/2025 10:05:49PM) Finished 5/5
p024 (06/26/2025 10:05:49PM) Finished 3/3
p025 (06/26/2025 10:05:50PM) Finished 2/2
p026 (06/26/2025 10:05:50PM) Finished 3/3
p027 (06/26/2025 10:05:50PM) Finished 5/5
p028 (06/26/2025 10:05:50PM) Finished 5/5
p029 (06/26/2025 10:05:51PM) Finished 2/2
p030 (06/26/2025 10:05:51PM) Finished 3/3
p031 (06/26/2025 10:05:51PM) Finished 5/5
p032 (06/26/2025 10:05:51PM) Finished 2/2
p033 (06/26/2025 10:05:52PM) Finished 4/4
p034 (06/26/2025 10:05:52PM) Finished 4/4
p035 (06/26/2025 10:05:52PM) Finished 5/5
p036 (06/26/2025 10:05:52PM) Finished 1/1
p037 (06/26/2025 10:05:53PM) Finished 5/5
p038 (06/26/2025 10:05:53PM) Finished 1/1
